IpRangeId,Operator,RangeStart,RangeEnd
1,Aircel,58.68.26.150,58.68.26.150
2,Aircel,58.68.26.1,58.68.26.254
3,Aircel,49.139.192.0,49.139.223.255
4,Aircel,49.139.176.0,49.139.191.255
5,Aircel,49.139.160.0,49.139.175.255
6,Aircel,49.139.128.0,49.139.159.255
7,Aircel,49.138.0.0,49.138.255.255
8,Aircel,49.137.0.0,49.137.255.255
9,Aircel,49.136.0.0,49.136.255.255
10,Aircel,27.248.0.0,27.248.255.255
11,Aircel,27.248.0.0,27.248.0.254
12,Aircel,118.102.186.30,118.102.186.30
13,Aircel,118.102.186.29,118.102.186.29
14,Aircel,118.102.186.29,118.102.186.30
15,Aircel,118.102.186.240,118.102.186.255
16,Aircel,118.102.184.46,118.102.184.254
17,Aircel,118.102.183.46,118.102.183.46
18,Aircel,118.102.183.46,118.102.183.254
19,Aircel,101.223.96.0,101.223.127.255
20,Aircel,101.223.64.0,101.223.95.255
21,Aircel,101.223.32.0,101.223.63.255
22,Aircel,101.223.254.0,101.223.254.255
23,Aircel,101.223.252.0,101.223.253.255
24,Aircel,101.223.248.0,101.223.251.255
25,Aircel,101.223.240.0,101.223.247.255
26,Aircel,101.223.224.0,101.223.239.255
27,Aircel,101.223.192.0,101.223.223.255
28,Aircel,101.223.160.0,101.223.191.255
29,Aircel,101.223.128.0,101.223.159.255
30,Aircel,101.223.0.0,101.223.255.255
31,Aircel,101.222.96.0,101.222.127.255
32,Aircel,101.222.64.0,101.222.95.255
33,Aircel,101.222.32.0,101.222.63.255
34,Aircel,101.222.0.0,101.222.31.255
35,Aircel,101.221.0.0,101.221.255.255
36,Aircel,101.220.0.0,101.220.255.255
37,Aircel,101.219.0.0,101.219.255.255
38,Aircel,101.218.0.0,101.218.255.255
39,Aircel,101.217.96.0,101.217.127.255
40,Aircel,101.217.64.0,101.217.95.255
41,Aircel,101.217.32.0,101.217.63.255
42,Aircel,101.217.224.0,101.217.255.255
43,Aircel,101.217.192.0,101.217.223.255
44,Aircel,101.217.160.0,101.217.191.255
45,Aircel,101.217.128.0,101.217.159.255
46,Aircel,101.217.0.0,101.217.31.255
47,Aircel,101.217.0.0,101.217.255.255
48,Aircel,101.217.0.0,101.217.255.255
49,Aircel,101.216.96.0,101.216.127.255
50,Aircel,101.216.64.0,101.216.95.255
51,Aircel,101.216.32.0,101.216.63.255
52,Aircel,101.216.224.0,101.216.255.255
53,Aircel,101.216.192.0,101.216.223.255
54,Aircel,101.216.160.0,101.216.191.255
55,Aircel,101.216.128.0,101.216.159.255
56,Aircel,101.216.0.0,101.216.31.255
57,Aircel,101.216.0.0,101.216.255.255
58,Aircel,101.216.0.0,101.216.255.255
59,Aircel,101.215.96.0,101.215.127.255
60,Aircel,101.215.64.0,101.215.95.255
61,Aircel,101.215.32.0,101.215.63.255
62,Aircel,101.215.224.0,101.215.255.255
63,Aircel,101.215.192.0,101.215.223.255
64,Aircel,101.215.160.0,101.215.191.255
65,Aircel,101.215.128.0,101.215.159.255
66,Aircel,101.215.0.0,101.215.255.255
67,Aircel,101.215.0.0,101.215.31.255
68,Aircel,101.214.96.0,101.214.127.255
69,Aircel,101.214.64.0,101.214.95.255
70,Aircel,101.214.32.0,101.214.63.255
71,Aircel,101.214.224.0,101.214.255.255
72,Aircel,101.214.192.0,101.214.223.255
73,Aircel,101.214.160.0,101.214.191.255
74,Aircel,101.214.128.0,101.214.159.255
75,Aircel,101.214.0.0,101.214.255.255
76,Aircel,101.214.0.0,101.214.31.255
77,Aircel,101.213.0.0,101.213.255.255
78,Aircel,101.213.0.0,101.213.0.254
79,Aircel,101.212.0.0,101.212.255.255
80,Aircel,101.211.0.0,101.211.255.255
81,Aircel,101.211.0.0,101.211.0.254
82,Aircel,101.210.0.0,101.210.255.255
83,Aircel,101.209.0.0,101.209.255.255
84,Aircel,101.209.0.0,101.209.0.254
85,Aircel,101.208.0.0,101.208.255.255
86,Airtel,27.63.0.0,27.63.255.255
87,Airtel,27.62.0.0,27.62.255.255
88,Airtel,27.61.64.0,27.61.127.255
89,Airtel,27.61.128.0,27.61.255.255
90,Airtel,27.61.0.0,27.61.63.255
91,Airtel,27.60.64.0,27.60.127.255
92,Airtel,27.60.192.0,27.60.255.255
93,Airtel,27.60.160.0,27.60.191.255
94,Airtel,27.60.128.0,27.60.159.255
95,Airtel,27.60.0.0,27.60.63.255
96,Airtel,27.59.0.0,27.59.255.255
97,Airtel,27.58.64.0,27.58.127.255
98,Airtel,27.58.192.0,27.58.255.255
99,Airtel,27.58.128.0,27.58.191.255
100,Airtel,27.58.0.0,27.58.63.255
101,Airtel,27.57.192.0,27.57.255.255
102,Airtel,27.57.128.0,27.57.191.255
103,Airtel,27.57.0.0,27.57.127.255
104,Airtel,27.56.64.0,27.56.127.255
105,Airtel,27.56.192.0,27.56.255.255
106,Airtel,27.56.128.0,27.56.159.255
107,Airtel,27.56.128.0,27.56.191.255
108,Airtel,27.56.0.0,27.56.63.255
109,Airtel,27.56.0.0,27.63.255.255
110,Airtel,27.56.0.0,27.63.255.255
111,Airtel,223.238.0.0,223.238.255.255
112,Airtel,223.237.0.0,223.237.255.255
113,Airtel,223.236.0.0,223.236.255.255
114,Airtel,223.235.0.0,223.235.255.255
115,Airtel,223.234.0.0,223.234.255.255
116,Airtel,223.233.64.0,223.233.127.255
117,Airtel,223.233.192.0,223.233.255.255
118,Airtel,223.233.128.0,223.233.191.255
119,Airtel,223.233.0.0,223.233.63.255
120,Airtel,223.232.0.0,223.232.255.255
121,Airtel,223.231.64.0,223.231.127.255
122,Airtel,223.231.128.0,223.231.255.255
123,Airtel,223.231.0.0,223.231.63.255
124,Airtel,223.230.0.0,223.230.127.255
125,Airtel,223.229.128.0,223.229.255.255
126,Airtel,223.229.0.0,223.229.127.255
127,Airtel,223.228.0.0,223.228.255.255
128,Airtel,223.227.0.0,223.227.255.255
129,Airtel,223.226.128.0,223.226.255.255
130,Airtel,223.226.0.0,223.226.127.255
131,Airtel,223.225.128.0,223.225.255.255
132,Airtel,223.225.0.0,223.225.127.255
133,Airtel,223.224.0.0,223.239.255.255
134,Airtel,223.191.128.0,223.191.255.255
135,Airtel,223.191.0.0,223.191.255.255
136,Airtel,223.190.128.0,223.190.255.255
137,Airtel,223.190.0.0,223.190.127.255
138,Airtel,223.190.0.0,223.190.255.255
139,Airtel,223.189.64.0,223.189.127.255
140,Airtel,223.189.128.0,223.189.255.255
141,Airtel,223.189.0.0,223.189.63.255
142,Airtel,223.188.0.0,223.188.255.255
143,Airtel,223.187.128.0,223.187.255.255
144,Airtel,223.187.0.0,223.187.127.255
145,Airtel,223.186.0.0,223.186.255.255
146,Airtel,223.185.64.0,223.185.127.255
147,Airtel,223.185.192.0,223.185.255.255
148,Airtel,223.185.128.0,223.185.191.255
149,Airtel,223.185.0.0,223.185.63.255
150,Airtel,223.184.128.0,223.184.255.255
151,Airtel,223.184.0.0,223.184.255.255
152,Airtel,223.184.0.0,223.184.127.255
153,Airtel,223.183.0.0,223.183.255.255
154,Airtel,223.182.192.0,223.182.255.255
155,Airtel,223.182.160.0,223.182.191.255
156,Airtel,223.182.128.0,223.182.159.255
157,Airtel,223.182.0.0,223.182.127.255
158,Airtel,223.181.192.0,223.181.255.255
159,Airtel,223.181.128.0,223.181.191.255
160,Airtel,223.181.0.0,223.181.127.255
161,Airtel,223.180.64.0,223.180.127.255
162,Airtel,223.180.192.0,223.180.255.255
163,Airtel,223.180.128.0,223.180.191.255
164,Airtel,223.180.0.0,223.180.63.255
165,Airtel,223.179.192.0,223.179.255.255
166,Airtel,223.179.160.0,223.179.191.255
167,Airtel,223.179.128.0,223.179.159.255
168,Airtel,223.179.0.0,223.179.127.255
169,Airtel,223.178.64.0,223.178.127.255
170,Airtel,223.178.128.0,223.178.255.255
171,Airtel,223.178.0.0,223.178.63.255
172,Airtel,223.177.224.0,223.177.255.255
173,Airtel,223.177.192.0,223.177.223.255
174,Airtel,223.177.192.0,223.177.255.255
175,Airtel,223.177.160.0,223.177.191.255
176,Airtel,223.177.144.0,223.177.159.255
177,Airtel,223.177.128.0,223.177.143.255
178,Airtel,223.177.128.0,223.177.159.255
179,Airtel,223.177.0.0,223.177.127.255
180,Airtel,223.176.128.0,223.176.255.255
181,Airtel,223.176.0.0,223.176.127.255
182,Airtel,223.176.0.0,223.191.255.255
183,Airtel,203.145.131.164,203.145.131.164
184,Airtel,202.56.231.117,202.56.231.117
185,Airtel,195.189.142.0,195.189.143.255
186,Airtel,182.67.0.0,182.67.255.255
187,Airtel,182.66.0.0,182.66.255.255
188,Airtel,171.78.0.0,171.78.255.255
189,Airtel,171.76.0.0,171.79.255.255
190,Airtel,171.60.0.0,171.61.255.255
191,Airtel,171.48.0.0,171.51.255.255
192,Airtel,125.20.13.82,125.20.13.82
193,Airtel,125.18.239.131,125.18.239.131
194,Airtel,125.18.235.213,125.18.235.213
195,Airtel,125.18.235.210,125.18.235.210
196,Airtel,117.99.96.0,117.99.111.255
197,Airtel,117.99.80.0,117.99.95.255
198,Airtel,117.99.64.0,117.99.79.255
199,Airtel,117.99.56.0,117.99.63.255
200,Airtel,117.99.48.0,117.99.55.255
201,Airtel,117.99.40.0,117.99.47.255
202,Airtel,117.99.38.0,117.99.39.255
203,Airtel,117.99.36.0,117.99.37.255
204,Airtel,117.99.35.0,117.99.35.255
205,Airtel,117.99.34.0,117.99.34.255
206,Airtel,117.99.32.0,117.99.33.255
207,Airtel,117.99.192.0,117.99.255.255
208,Airtel,117.99.160.0,117.99.191.255
209,Airtel,117.99.128.0,117.99.159.255
210,Airtel,117.99.112.0,117.99.127.255
211,Airtel,117.99.0.0,117.99.31.255
212,Airtel,117.98.224.0,117.98.255.255
213,Airtel,117.98.192.0,117.98.223.255
214,Airtel,117.98.128.0,117.98.191.255
215,Airtel,117.98.0.0,117.98.127.255
216,Airtel,117.97.96.0,117.97.127.255
217,Airtel,117.97.95.0,117.97.95.255
218,Airtel,117.97.94.0,117.97.94.255
219,Airtel,117.97.92.0,117.97.93.255
220,Airtel,117.97.88.0,117.97.91.255
221,Airtel,117.97.80.0,117.97.87.255
222,Airtel,117.97.64.0,117.97.79.255
223,Airtel,117.97.32.0,117.97.63.255
224,Airtel,117.97.240.0,117.97.255.255
225,Airtel,117.97.224.0,117.97.239.255
226,Airtel,117.97.223.240,117.97.223.255
227,Airtel,117.97.223.224,117.97.223.239
228,Airtel,117.97.223.192,117.97.223.223
229,Airtel,117.97.223.128,117.97.223.191
230,Airtel,117.97.223.0,117.97.223.127
231,Airtel,117.97.222.0,117.97.222.255
232,Airtel,117.97.220.0,117.97.221.255
233,Airtel,117.97.216.0,117.97.219.255
234,Airtel,117.97.208.0,117.97.215.255
235,Airtel,117.97.192.0,117.97.207.255
236,Airtel,117.97.176.0,117.97.191.255
237,Airtel,117.97.160.0,117.97.175.255
238,Airtel,117.97.128.0,117.97.159.255
239,Airtel,117.97.0.0,117.97.31.255
240,Airtel,117.96.96.0,117.96.111.255
241,Airtel,117.96.95.248,117.96.95.255
242,Airtel,117.96.95.240,117.96.95.247
243,Airtel,117.96.95.224,117.96.95.239
244,Airtel,117.96.95.192,117.96.95.223
245,Airtel,117.96.95.128,117.96.95.191
246,Airtel,117.96.95.0,117.96.95.127
247,Airtel,117.96.94.0,117.96.94.255
248,Airtel,117.96.92.0,117.96.93.255
249,Airtel,117.96.88.0,117.96.91.255
250,Airtel,117.96.80.0,117.96.87.255
251,Airtel,117.96.64.0,117.96.95.255
252,Airtel,117.96.64.0,117.96.79.255
253,Airtel,117.96.32.0,117.96.63.255
254,Airtel,117.96.31.0,117.96.31.255
255,Airtel,117.96.30.0,117.96.30.255
256,Airtel,117.96.28.0,117.96.29.255
257,Airtel,117.96.240.0,117.96.255.255
258,Airtel,117.96.24.0,117.96.27.255
259,Airtel,117.96.224.0,117.96.239.255
260,Airtel,117.96.208.0,117.96.223.255
261,Airtel,117.96.192.0,117.96.207.255
262,Airtel,117.96.160.0,117.96.191.255
263,Airtel,117.96.16.0,117.96.23.255
264,Airtel,117.96.156.0,117.96.159.255
265,Airtel,117.96.152.0,117.96.155.255
266,Airtel,117.96.144.0,117.96.151.255
267,Airtel,117.96.128.0,117.96.143.255
268,Airtel,117.96.126.0,117.96.127.255
269,Airtel,117.96.124.0,117.96.125.255
270,Airtel,117.96.120.0,117.96.123.255
271,Airtel,117.96.112.0,117.96.119.255
272,Airtel,117.96.0.0,117.96.15.255
273,Airtel,117.96.0.0,117.99.255.255
274,Airtel,115.248.0.0,115.251.255.255
275,Airtel,110.227.96.0,110.227.127.255
276,Airtel,110.227.64.0,110.227.95.255
277,Airtel,110.227.192.0,110.227.255.255
278,Airtel,110.227.128.0,110.227.191.255
279,Airtel,110.227.0.0,110.227.63.255
280,Airtel,110.226.64.0,110.226.127.255
281,Airtel,110.226.192.0,110.226.255.255
282,Airtel,110.226.128.0,110.226.191.255
283,Airtel,110.226.0.0,110.226.63.255
284,Airtel,110.225.64.0,110.225.127.255
285,Airtel,110.225.32.0,110.225.63.255
286,Airtel,110.225.224.0,110.225.255.255
287,Airtel,110.225.192.0,110.225.223.255
288,Airtel,110.225.160.0,110.225.191.255
289,Airtel,110.225.128.0,110.225.159.255
290,Airtel,110.225.0.0,110.225.31.255
291,Airtel,110.224.96.0,110.224.127.255
292,Airtel,110.224.64.0,110.224.95.255
293,Airtel,110.224.32.0,110.224.63.255
294,Airtel,110.224.224.0,110.224.255.255
295,Airtel,110.224.192.0,110.224.223.255
296,Airtel,110.224.176.0,110.224.191.255
297,Airtel,110.224.160.0,110.224.175.255
298,Airtel,110.224.144.0,110.224.159.255
299,Airtel,110.224.128.0,110.224.143.255
300,Airtel,110.224.0.0,110.224.31.255
301,Airtel,110.224.0.0,110.227.255.255
302,Airtel,106.224.0.0,106.224.255.255
303,Airtel,106.223.0.0,106.223.255.255
304,Airtel,106.221.0.0,106.221.255.255
305,Airtel,106.220.0.0,106.220.255.255
306,Airtel,106.200.0.0,106.200.255.255
307,Airtel,106.199.0.0,106.199.127.255
308,Airtel,106.198.128.0,106.198.255.255
309,Airtel,106.198.0.0,106.198.127.255
310,Airtel,106.197.0.0,106.197.255.255
311,Airtel,106.196.0.0,106.196.255.255
312,Airtel,106.195.128.0,106.195.255.255
313,Airtel,106.195.0.0,106.195.127.255
314,Airtel,106.194.0.0,106.194.255.255
315,Airtel,106.193.0.0,106.193.255.255
316,Airtel,106.192.0.0,106.192.255.255
317,Airtel,106.192.0.0,106.223.255.255
318,Airtel,10.225.64.0,10.225.127.255
319,Airtel,10.225.32.0,10.225.63.255
320,Airtel,10.192.0.0,10.192.31.255
321,Airtel,10.191.20.0,10.191.21.255
322,Airtel,10.191.136.0,10.191.143.255
323,Airtel,10.186.96.0,10.186.127.255
324,Airtel,10.186.64.0,10.186.95.255
325,Airtel,10.186.0.0,10.186.15.255
326,Airtel,10.150.248.0,10.150.251.255
327,Docomo,59.161.48.0,59.161.63.255
328,Docomo,59.161.32.0,59.161.47.255
329,Docomo,59.161.176.0,59.161.191.255
330,Docomo,59.161.144.0,59.161.159.255
331,Docomo,59.161.128.0,59.161.143.255
332,Docomo,49.249.64.0,49.249.127.255
333,Docomo,49.249.32.0,49.249.63.255
334,Docomo,49.249.224.0,49.249.255.255
335,Docomo,49.249.192.0,49.249.223.255
336,Docomo,49.249.128.0,49.249.191.255
337,Docomo,49.249.0.0,49.249.31.255
338,Docomo,49.248.244.0,49.248.245.255
339,Docomo,49.248.240.0,49.248.243.255
340,Docomo,49.248.224.0,49.248.239.255
341,Docomo,49.203.96.1,49.203.111.254
342,Docomo,49.203.80.1,49.203.95.254
343,Docomo,49.203.64.1,49.203.79.254
344,Docomo,49.203.48.1,49.203.63.254
345,Docomo,49.203.32.1,49.203.47.254
346,Docomo,49.203.252.1,49.203.255.254
347,Docomo,49.203.224.1,49.203.224.254
348,Docomo,49.203.192.1,49.203.223.254
349,Docomo,49.203.176.1,49.203.191.254
350,Docomo,49.203.160.1,49.203.175.254
351,Docomo,49.203.16.1,49.203.31.254
352,Docomo,49.203.144.1,49.203.159.254
353,Docomo,49.203.128.1,49.203.143.254
354,Docomo,49.203.112.1,49.203.127.254
355,Docomo,49.203.0.1,49.203.15.254
356,Docomo,49.203.0.0,49.203.255.255
357,Docomo,49.202.96.1,49.202.103.254
358,Docomo,49.202.92.1,49.202.95.254
359,Docomo,49.202.88.1,49.202.91.254
360,Docomo,49.202.84.1,49.202.87.254
361,Docomo,49.202.80.1,49.202.83.254
362,Docomo,49.202.64.1,49.202.79.254
363,Docomo,49.202.224.1,49.202.239.254
364,Docomo,49.202.216.1,49.202.223.254
365,Docomo,49.202.208.1,49.202.215.254
366,Docomo,49.202.200.1,49.202.207.254
367,Docomo,49.202.192.1,49.202.199.254
368,Docomo,49.202.128.1,49.202.191.254
369,Docomo,49.202.120.1,49.202.127.254
370,Docomo,49.202.112.1,49.202.119.254
371,Docomo,49.202.104.1,49.202.111.254
372,Docomo,49.202.0.1,49.202.63.254
373,Docomo,49.202.0.0,49.202.255.255
374,Docomo,49.201.96.1,49.201.111.254
375,Docomo,49.201.96.1,49.201.111.254
376,Docomo,49.201.56.1,49.201.63.254
377,Docomo,49.201.48.1,49.201.55.254
378,Docomo,49.201.40.1,49.201.47.254
379,Docomo,49.201.32.1,49.201.39.254
380,Docomo,49.201.248.1,49.201.255.254
381,Docomo,49.201.246.1,49.201.247.254
382,Docomo,49.201.244.1,49.201.245.254
